id,huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw,type
313,24.43,2.08,25.98,1.84,23.77,1.78,39.14,1.9,27.92,1.48,SO
314,20.36,1.91,21.92,1.54,21.56,1.81,36.81,1.56,26.31,1.27,SO
315,21.31,2.24,26.66,1.87,18.99,1.64,30.64,1.43,20.76,1.18,SO
316,20.97,2.16,26.27,1.85,18.89,1.36,31.01,1.23,20.28,1.11,SO
317,21.04,2.12,26.27,1.81,18.54,1.39,29.5,1.39,19.9,1.11,SO
318,25.36,2.36,28.04,1.68,22.76,1.77,35.58,1.42,24.61,1.63,SO
319,23.88,2.4,29.16,1.74,22.84,2.02,37.24,1.54,26.15,1.32,SO
320,24.56,2.25,28.53,1.94,23.13,1.86,38.27,1.62,26.68,1.95,SO
321,24.03,2.37,29.26,1.94,22.58,1.88,37.13,1.73,25.39,1.43,SO
322,18.12,1.61,22.32,1.38,16.42,1.13,26.64,1.1,17.74,0.98,SO
323,18.69,1.75,22.76,1.57,16.75,1.3,26.6,1.05,18.0,0.92,SO
324,18.94,1.83,22.95,1.69,17.25,1.25,28.59,1.16,18.86,0.97,SO
325,27.9,2.51,31.56,2.07,24.08,2.28,45.9,2.09,34.98,1.6,SO
326,26.49,2.38,30.38,2.04,22.99,2.14,42.19,1.87,33.71,1.46,SO
327,26.75,2.39,30.48,1.97,23.11,2.08,44.2,1.79,34.47,1.58,SO
328,27.06,2.5,30.28,2.1,23.96,2.24,46.02,1.76,33.91,1.76,SO
329,19.0,1.68,24.0,1.45,14.86,1.23,27.19,1.01,20.05,0.86,SO
330,19.34,1.69,24.89,1.51,15.29,1.28,28.63,1.22,21.95,0.94,SO
331,20.19,1.85,26.41,1.53,15.71,1.29,29.66,1.15,21.9,1.05,SO
332,21.85,2.06,25.9,1.75,20.86,1.72,34.26,1.43,23.25,1.18,SO
333,20.8,1.95,23.44,1.6,20.67,1.45,35.52,1.45,25.41,1.36,SO
334,20.62,1.87,23.45,1.75,20.96,1.68,34.64,1.76,24.8,1.46,SO
335,22.35,2.01,25.13,1.85,21.98,1.69,36.5,1.71,26.42,1.52,SO
336,26.23,2.3,30.53,2.15,24.85,1.96,41.33,1.71,29.01,1.77,SO
337,26.32,2.34,30.17,2.18,24.74,1.91,41.6,1.77,28.98,1.88,SO
338,25.57,2.18,29.05,2.15,25.24,1.91,40.9,1.83,28.05,2.0,SO
339,24.67,1.9,27.06,2.1,24.7,1.86,39.72,1.99,27.22,1.7,SO
340,30.26,2.54,34.8,2.09,29.66,2.2,48.67,2.16,34.77,2.0,SO
341,29.38,2.44,29.84,2.44,28.95,2.13,47.18,2.19,31.46,1.88,SO
342,,,,,32.54,2.65,55.06,2.81,38.94,2.25,SO
343,30.1,2.49,34.69,2.26,28.74,2.08,49.08,2.1,36.09,1.88,SO
344,31.14,2.87,37.34,2.81,28.44,2.31,48.65,2.3,33.98,1.97,SO
345,32.08,2.7,38.3,2.63,28.76,2.21,49.85,1.99,35.29,1.73,SO
346,32.31,3.0,39.03,2.73,29.51,2.39,51.04,2.4,36.11,2.03,SO
347,23.99,2.19,28.88,1.96,23.16,1.75,38.98,1.83,27.21,1.43,SO
348,22.25,1.92,25.93,1.61,22.15,1.66,38.48,1.46,26.74,1.23,SO
349,21.88,2.02,25.45,1.68,21.64,1.73,37.26,1.38,26.0,1.24,SO
350,26.71,2.32,31.71,1.9,25.11,2.23,47.91,2.08,48.35,1.95,SO
351,29.18,2.39,34.32,2.04,27.66,2.09,49.66,1.96,36.26,1.7,SO
352,25.78,2.21,28.16,1.84,23.29,1.75,42.34,1.58,30.39,1.34,SO
353,26.09,2.17,28.99,1.77,27.74,2.15,46.64,2.04,32.85,1.81,SO
354,28.14,2.35,30.63,1.86,28.49,2.18,49.07,2.07,34.64,1.78,SO
355,18.68,1.62,24.78,1.4,16.16,1.12,29.67,1.06,22.09,0.78,SO
356,18.3,1.69,22.97,1.48,18.16,1.5,36.39,1.24,27.46,0.98,SO
357,20.64,1.97,26.1,1.61,20.61,1.56,40.19,1.47,30.63,1.22,SO
358,19.4,1.88,25.08,1.57,18.89,1.52,36.89,1.31,29.86,1.04,SO
359,17.32,1.83,24.34,1.36,18.36,1.2,37.26,1.3,25.03,1.05,SO
360,21.38,1.87,27.42,1.7,20.67,1.54,37.88,1.33,28.55,1.08,SO
361,20.08,2.07,25.78,1.81,20.43,1.62,38.3,1.35,30.25,1.09,SO
362,20.1,1.89,25.57,1.8,20.42,1.65,37.05,1.42,28.62,0.96,SO
363,19.96,1.88,25.19,1.66,19.53,1.48,36.65,1.4,27.65,1.11,SO
364,30.21,2.97,37.31,2.58,27.71,2.0,47.98,1.98,33.79,1.61,SO
365,29.52,2.92,37.47,2.37,28.22,2.25,47.49,1.98,34.6,1.63,SO
366,16.93,1.52,19.49,1.12,15.81,1.19,28.89,1.08,21.41,0.92,SO
367,13.31,1.17,16.47,1.06,12.32,0.93,22.47,0.95,15.97,0.75,SO
368,15.24,1.4,18.37,1.13,13.75,1.05,25.57,0.91,19.1,0.86,SO
369,13.48,1.27,16.0,1.0,12.67,1.1,23.12,0.88,16.34,0.89,SO
370,13.38,1.14,16.51,1.23,12.48,1.12,24.91,0.92,17.55,0.88,SO
371,13.67,1.27,17.52,1.08,12.77,1.16,25.47,0.98,18.15,1.28,SO
372,14.51,1.49,18.79,1.12,14.07,1.01,25.85,1.0,18.38,0.8,SO
373,14.62,1.39,19.23,1.12,14.13,0.97,26.11,1.03,18.23,0.73,SO
374,14.88,1.49,19.55,1.15,13.69,0.98,25.54,0.91,18.15,0.69,SO
375,14.61,1.37,20.3,1.23,14.28,1.04,25.09,0.88,17.39,0.79,SO
376,13.52,1.28,17.88,1.07,15.1,1.05,25.14,1.23,17.81,0.69,SO
377,12.69,1.69,17.44,1.16,11.83,1.03,23.8,0.87,16.97,0.66,SO
378,20.1,1.86,,1.52,17.21,1.22,,,18.46,0.91,SO
379,22.26,1.94,27.69,1.71,17.27,1.28,27.29,1.26,17.49,1.02,SO
380,24.84,2.32,28.88,2.01,25.65,2.01,40.2,1.83,26.66,1.65,SO
381,23.52,2.16,29.33,1.72,20.59,1.49,32.45,1.13,19.33,1.0,SO
382,22.55,2.27,28.3,1.76,19.89,1.52,30.95,1.39,18.68,1.06,SO
383,23.94,2.45,27.86,1.95,24.02,1.87,35.62,1.86,22.99,1.43,SO
384,48.2,4.08,61.94,3.75,40.11,3.1,62.09,3.21,37.26,2.46,SO
385,24.28,2.16,30.29,1.91,20.32,1.62,29.29,1.47,24.48,1.39,SO
386,25.24,2.42,32.13,2.1,21.14,1.69,29.58,1.57,25.49,1.42,SO
387,23.9,2.32,28.83,1.67,21.18,1.85,33.11,1.61,23.02,1.33,SO
388,23.82,2.19,29.6,1.88,20.35,1.56,28.54,1.54,23.38,1.26,SO
389,19.63,1.76,23.58,1.33,18.85,1.54,33.1,1.34,24.09,1.14,SO
390,20.43,1.59,22.68,1.39,20.0,1.54,35.63,1.33,25.57,1.57,SO
391,22.19,1.86,24.93,1.52,24.14,1.78,40.17,1.73,29.61,1.43,SO
392,23.27,2.0,24.8,1.83,26.04,1.79,41.91,1.67,29.76,1.39,SO
393,18.97,1.58,21.26,1.4,21.5,1.55,36.52,1.52,25.04,1.47,SO
394,15.99,1.35,18.32,1.13,15.84,1.19,30.05,1.23,22.94,1.08,SO
395,15.62,1.28,18.52,1.06,15.75,1.17,28.63,1.03,21.39,0.88,SO
396,16.51,1.47,20.56,1.43,15.88,1.27,,1.19,17.63,1.02,SO
397,16.8,1.58,19.77,1.39,16.86,1.29,29.75,1.18,21.77,1.04,SO
398,15.55,1.48,18.93,1.3,17.58,1.23,31.65,1.14,24.12,0.98,SO
399,23.32,2.06,27.9,1.84,22.49,1.66,34.77,1.42,23.05,1.18,SO
400,20.41,1.82,22.66,1.71,18.14,1.52,29.3,1.21,20.29,1.15,SO
401,21.53,1.91,25.3,1.67,20.8,1.65,34.08,1.33,23.86,1.27,SO
402,22.84,2.21,27.7,2.06,22.13,1.72,34.6,1.69,25.08,1.39,SO
403,20.95,1.89,24.12,1.66,21.24,1.84,36.71,1.53,25.99,1.23,SO
404,20.36,1.87,22.19,1.6,,1.77,37.47,1.64,25.54,1.34,SO
405,17.3,1.68,20.43,1.33,15.51,1.15,25.96,0.88,17.41,0.81,SO
406,16.86,1.58,20.72,1.36,14.92,1.13,24.56,0.98,16.76,0.81,SO
407,15.7,1.42,18.58,1.2,15.22,1.08,25.39,0.92,16.88,0.74,SO
408,19.54,1.86,23.35,1.47,18.34,1.46,29.05,1.35,19.68,1.08,SO
409,23.27,2.15,27.62,2.16,21.86,1.64,35.55,1.51,23.23,1.32,SO
410,23.04,2.15,28.29,1.94,21.46,1.67,33.41,1.42,22.48,1.27,SO
411,21.21,1.88,23.35,1.62,21.97,1.55,35.02,1.4,22.35,1.24,SO
412,21.92,1.8,25.73,1.49,19.98,1.35,30.47,1.36,20.11,1.25,SO
413,12.95,1.16,14.09,1.03,13.03,1.03,22.13,0.96,15.19,1.02,SO
414,13.63,1.16,15.22,1.06,13.75,0.99,23.13,0.96,15.62,1.01,SO
415,17.96,1.63,19.25,1.33,18.36,1.54,31.25,1.33,21.99,1.15,SO
416,19.21,1.64,20.76,1.49,19.24,1.45,33.21,1.28,23.6,1.15,SO
417,18.79,1.63,19.83,1.53,20.96,1.43,34.45,1.41,22.86,1.21,SO
418,20.38,1.78,22.53,1.5,21.35,1.48,36.09,1.53,25.98,1.24,SO
419,17.89,1.44,19.26,1.1,17.62,1.34,29.81,1.24,21.69,1.05,SO
